name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group,console_type,rating_sem
Guitar Hero: Metallica,X360,2009,Misc,0.52,0.2,0.0,0.07,84.0,81.0,T,0.79,Xbox,Home console,teen
Guitar Hero: On Tour,DS,2008,Misc,2.1,1.01,0.01,0.35,71.0,88.0,E10+,3.47,Nintendo,Portable console,everyone 10 and older
Guitar Hero: On Tour Decades,DS,2008,Misc,0.84,0.57,0.0,0.16,72.0,80.0,E10+,1.5699999999999998,Nintendo,Portable console,everyone 10 and older
Guitar Hero: Smash Hits,PS2,2009,Misc,0.11,0.01,0.0,0.1,69.0,83.0,T,0.22,Playstation,Home console,teen
Guitar Hero: Smash Hits,PS3,2009,Misc,0.2,0.11,0.0,0.05,73.0,72.0,T,0.36,Playstation,Home console,teen
Guitar Hero: Smash Hits,Wii,2009,Misc,0.31,0.21,0.0,0.06,74.0,77.0,T,0.5800000000000001,Nintendo,Home console,teen
Guitar Hero: Smash Hits,X360,2009,Misc,0.23,0.15,0.0,0.04,71.0,59.0,T,0.42,Xbox,Home console,teen
Guitar Hero: Van Halen,PS2,2009,Misc,0.05,0.04,0.0,0.01,70.0,80.0,T,0.09999999999999999,Playstation,Home console,teen
Guitar Hero: Van Halen,PS3,2009,Misc,0.14,0.09,0.0,0.04,59.0,47.0,T,0.27,Playstation,Home console,teen
Guitar Hero: Van Halen,Wii,2009,Misc,0.13,0.12,0.0,0.03,50.0,52.0,T,0.28,Nintendo,Home console,teen
Guitar Hero: Van Halen,X360,2009,Misc,0.16,0.1,0.0,0.03,57.0,58.0,T,0.29000000000000004,Xbox,Home console,teen
Guitar Hero: Warriors of Rock,PS3,2010,Misc,0.33,0.34,0.0,0.13,74.0,71.0,T,0.8,Playstation,Home console,teen
Guitar Hero: Warriors of Rock,Wii,2010,Misc,0.47,0.4,0.0,0.09,77.0,75.0,T,0.96,Nintendo,Home console,teen
Guitar Hero: Warriors of Rock,X360,2010,Misc,0.47,0.31,0.0,0.08,72.0,65.0,T,0.86,Xbox,Home console,teen
Guitar Hero: World Tour,PC,2009,Misc,0.0,0.03,0.0,0.01,78.0,78.0,T,0.04,PC,Home console,teen
Guitar Hero: World Tour,PS2,2008,Misc,1.0,0.03,0.0,0.77,70.0,80.0,T,1.8,Playstation,Home console,teen
Guitar Hero: World Tour,PS3,2008,Misc,1.1,0.55,0.0,0.27,84.0,75.0,T,1.9200000000000002,Playstation,Home console,teen
Guitar Hero: World Tour,Wii,2008,Misc,2.32,0.96,0.0,0.34,86.0,76.0,T,3.6199999999999997,Nintendo,Home console,teen
Guitar Hero: World Tour,X360,2008,Misc,1.78,0.63,0.0,0.25,85.0,63.0,T,2.66,Xbox,Home console,teen
Guitar Rock Tour,DS,2007,Misc,0.1,0.0,0.0,0.01,60.0,74.0,E10+,0.11,Nintendo,Portable console,everyone 10 and older
Gumby vs. the Astrobots,GBA,2005,Action,0.03,0.01,0.0,0.0,63.0,80.0,E,0.04,Nintendo,Portable console,everyone
Gummy Bears Magical Medallion,Wii,2011,Platform,0.01,0.0,0.0,0.0,65.0,71.5,E,0.01,Nintendo,Home console,everyone
Gummy Bears Mini Golf,DS,2010,Sports,0.04,0.0,0.0,0.0,66.0,74.0,Pending,0.04,Nintendo,Portable console,pending
Gummy Bears Mini Golf,Wii,2010,Sports,0.04,0.0,0.0,0.0,65.0,71.5,Pending,0.04,Nintendo,Home console,pending
